Designator,MPN,Qty,Link
"R1,R2,R3,R4,R5,R6",CR0805-FX-75R0ELF,6,https://www.digikey.ca/product-detail/en/bourns-inc/CR0805-FX-75R0ELF/CR0805-FX-75R0ELFCT-ND/3740930
C1,UCL1C100MCL1GS,1,https://www.digikey.ca/product-detail/en/nichicon/UCL1C100MCL1GS/493-3913-1-ND/2300340
"C2,C3",CL21B104KCFNNNE,2,https://www.digikey.ca/product-detail/en/samsung-electro-mechanics/CL21B104KCFNNNE/1276-6840-1-ND/5961699
FILTER1,THS7316DR,1,https://www.digikey.ca/product-detail/en/texas-instruments/THS7316DR/296-26684-1-ND/2255104
VGA1,AHDF15A-KG-TAXB,1,https://www.digikey.ca/product-detail/en/assmann-wsw-components/AHDF15A-KG-TAXB/AE11024-ND/1241905
RCA1,PJRAN3X1U03X,1,https://www.digikey.ca/product-detail/en/switchcraft-inc/PJRAN3X1U03X/SC1854-ND/1288816
TOSLINK1,PLT133/T10W,1,https://www.digikey.ca/product-detail/en/everlight-electronics-co-ltd/PLT133-T10W/1080-1430-ND/2693977
Enclosure Screw,1455MS100BK,2,https://www.digikey.ca/product-detail/en/hammond-manufacturing/1455MS100BK/HM1426-ND/3869037
VGA Cable,Monoprice #5361,1,https://www.monoprice.com/product?p_id=85
AVIP Connector,unk,1,null
